passenger_id,arrival_time,interarrival_time
0,21600.0,0.0
1,21600.0,0.0
2,21600.0,0.0
3,21600.0,0.0
4,21600.0,0.0
5,21600.0,0.0
6,21600.0,0.0
7,21600.0,0.0
8,21600.0,0.0
9,21600.0,0.0
10,21600.0,0.0
11,21600.0,0.0
12,21600.0,0.0
13,21600.0,0.0
14,21600.0,0.0
15,21600.0,0.0
16,21600.0,0.0
17,21600.0,0.0
18,21600.0,0.0
19,21600.0,0.0
20,21600.0,0.0
21,21600.0,0.0
22,21600.0,0.0
23,21600.0,0.0
24,21600.0,0.0
25,21601.0,1.0
26,21602.0,1.0
27,21602.0,0.0
28,21611.0,9.0
29,21618.0,7.0
30,21621.0,3.0
31,21622.0,1.0
32,21623.0,1.0
33,21624.0,1.0
34,21624.0,0.0
35,21625.0,1.0
36,21626.0,1.0
37,21636.0,10.0
38,21636.0,0.0
39,21637.0,1.0
40,21637.0,0.0
41,21639.0,2.0
42,21643.0,4.0
43,21648.0,5.0
44,21652.0,4.0
45,21656.0,4.0
46,21659.0,3.0
47,21663.0,4.0
48,21665.0,2.0
49,21668.0,3.0
50,21669.0,1.0
51,21676.0,7.0
52,21683.0,7.0
53,21687.0,4.0
54,21695.0,8.0
55,21697.0,2.0
56,21699.0,2.0
57,21699.0,0.0
58,21702.0,3.0
59,21703.0,1.0
60,21703.0,0.0
61,21706.0,3.0
62,21706.0,0.0
63,21707.0,1.0
64,21708.0,1.0
65,21709.0,1.0
66,21710.0,1.0
67,21713.0,3.0
68,21713.0,0.0
69,21719.0,6.0
70,21720.0,1.0
71,21720.0,0.0
72,21722.0,2.0
73,21724.0,2.0
74,21725.0,1.0
75,21726.0,1.0
76,21727.0,1.0
77,21727.0,0.0
78,21733.0,6.0
79,21734.0,1.0
80,21736.0,2.0
81,21738.0,2.0
82,21738.0,0.0
83,21740.0,2.0
84,21744.0,4.0
85,21745.0,1.0
86,21745.0,0.0
87,21746.0,1.0
88,21747.0,1.0
89,21747.0,0.0
90,21747.0,0.0
91,21752.0,5.0
92,21753.0,1.0
93,21754.0,1.0
94,21754.0,0.0
95,21754.0,0.0
96,21756.0,2.0
97,21759.0,3.0
98,21760.0,1.0
99,21761.0,1.0
100,21762.0,1.0
101,21763.0,1.0
102,21764.0,1.0
103,21764.0,0.0
104,21764.0,0.0
105,21765.0,1.0
106,21768.0,3.0
107,21769.0,1.0
108,21770.0,1.0
109,21771.0,1.0
110,21774.0,3.0
111,21774.0,0.0
112,21775.0,1.0
113,21775.0,0.0
114,21776.0,1.0
115,21776.0,0.0
116,21780.0,4.0
117,21781.0,1.0
118,21782.0,1.0
119,21783.0,1.0
120,21783.0,0.0
121,21784.0,1.0
122,21788.0,4.0
123,21789.0,1.0
124,21789.0,0.0
125,21790.0,1.0
126,21790.0,0.0
127,21793.0,3.0
128,21795.0,2.0
129,21798.0,3.0
130,21799.0,1.0
131,21800.0,1.0
132,21801.0,1.0
133,21802.0,1.0
134,21803.0,1.0
135,21804.0,1.0
136,21804.0,0.0
137,21806.0,2.0
138,21808.0,2.0
139,21808.0,0.0
140,21812.0,4.0
141,21812.0,0.0
142,21812.0,0.0
143,21814.0,2.0
144,21814.0,0.0
145,21815.0,1.0
146,21819.0,4.0
147,21821.0,2.0
148,21821.0,0.0
149,21822.0,1.0
150,21823.0,1.0
151,21823.0,0.0
152,21823.0,0.0
153,21823.0,0.0
154,21824.0,1.0
155,21825.0,1.0
156,21825.0,0.0
157,21826.0,1.0
158,21826.0,0.0
159,21830.0,4.0
160,21830.0,0.0
161,21831.0,1.0
162,21834.0,3.0
163,21836.0,2.0
